13º salário;Christmas bonus
parecer sem ressalvas, limpo;clean opinion, unqualified opinion
parecer ténico que engloba vários assuntos;omnibus opinion
parêntese;parenthesis (USA), bracket (UK)
paridade;parity
parte da auditoria executada por outros auditores independentes;part of the audit performed by other independent auditors
parte interessada;affected party, party
parte que negocia com a entidade (a outra parte em uma transação);other party
partes beneficiárias (de fundadores);founder shares
partes não-relacionadas;unrelated parties
partes relacionadas;related parties
participação do proprietário;ownership interest
participação dos trabalhadores;workers' participation
participação em ações ordinárias;common stock interest
participação em controlada;investment in subsidiary company
participação em salvados e ressarcimentos;participation in salvage and recovery
participação em sociedade;interest in a company, interest in a corporation
participação majoritária;controlling interest, majority interest
participação minoritária;minority interest
participação no mercado;market share
participação nos lucros;"profit sharing; profit participation"
participações em lucros operacionais de retrocessões e consórcios;profit participation in retrocession accounts and pooled business
participante (pensão);person who acquires a plan (pension)
partida;departure
partida dobrada;double entry
partida simples;single entry
passível de prestar contas;accountable
passivo;liability
passivo a longo prazo;long-term liability
passivo circulante;current liability
passivo contingente;contingent liability
passivo de imposto diferido;deferred tax liability
passivo diferido;deferred liability
passivo financeiro;financial liability
passivo fiscal;tax liability
passivo monetário;monetary liability
passivo não circulante;non-current liability
passivo não garantido, passivo a descoberto;unsecured liability
passivo oculto;hidden liability
passivo para limpeza de lixo, detritos, etc.;liability for leanup of waste
passivo provisionado;accrued liability
passivos com incidência de juros;interest-bearing liabilities
passivos não contabilizados, passivos não registrados;unrecorded liabilities
pasta (para portar papéis, etc.);brief case
pasta de planejamento;planning file
pasta permanente;permanent file
patente;patent
patrão;boss
patrimônio;equity
patrimônio líquido;"net equity; owners' equity; stockholders' equity (USA), shareholders' equity (UK); net worth"
patrimônio líquido dos acionistas;stockholders' equity
patrimônio líquido dos quotistas, patrimônio líquido dos cotistas;quotaholders' equity
patrocianador;sponsor
pausa;standstill
peças;parts
peças de reposição;spare parts
pedágio;toll
pedido;order
pedido de compra;purchase order
pedido de indenização;claim
pedidos acumulados não atendidos;backlog of unfilled orders
pedidos em carteira;backlog
pedidos sob medida (produção);customized orders
pedir demissão;give notice
pegar;take up
pegar ou largar;take it or leave it
pela lei;at law
pelo valor de mercado;at the money, at market value
pelo valor nominal;at par
pendências;holdovers
penetração no mercado;market penetration
"penho (s); penhorar (v)";"lien, pledge, pawn (n); pledge, pawn, execute (v)"
penhora;seizure
penhora de bens em garantia;collateral pledge
pensão vitalícia (pensões);life annuity (pension)
pequeno investidor;small investor
per capita;per capita
percentagem;percentage
percentual de participação;"ownership percentage; percentage holding"
perda de câmbio;exchange loss
perda de capital;capital loss
perda extraordinária, prejuízo extraordinário;extraordinary loss
perda máxima possível;maximum possible loss
perda máxima provável;maximum probable loss
perda na transação de conversão de moeda;exchange loss
perda total;total loss
perdão de dívida;waiver of debt, forgiveness of debt
perdão por descumprimento de cláusula de contrato de empréstimo;default waiver on loan agreement
perdas e danos;loss and damage
perdas substanciais;heavy losses
perder um prazo fatal;miss a deadline
perecível;perishable
perfeito;perfect, flawless
perfil alto;high profile
perfil baixo;low profile
perfil da empresa;company profile
perfil do consumidor;customer profile
perícia;expertise
período;period
período contábil, exercício contábil, exercício social;accounting period, fiscal period
período de carência;grace period
período de execução;time frame
período de expansão;expansion period
período de garantia;warranty period
período de mais movimento, período de pico;peak period
período de prescrição;prescription period, statute of limitations
período de retorno de um investimento;pay-back period
período de risco não decorrido, período de risco não expirado;unexpired risk period
período de transição;transitional period
período intermediário, período intercalar;interim period
período orçamentário;budget period
período-base;base period (company tax year)
perito;expert
permissão de importação;importation permit
permutar;commute
perspectiva do lucro;profit outlook
perspectiva, panorama;outlook
perspectivas de crescimento;growth prospects
pervasive;generalizado
pessoa jurídica;legal entity
pessoal operacional;operating personnel
PIS/PASEP;Social Integration Program
plano de contas;chart of accounts
plano de saúde;medical-hospital coverage
plano dentário;dental coverage
plena capacidade;at full capacity
poder de compra, poder aquisitivo;purchasing power
poder executivo;executive (power, branch)
poder judiciário;judiciary (power, branch)
poder legislativo;legislative (power, branch)
política contábil;accounting policy
política de contração;contractionary policy
política de dividendos;dividend policy
política de estabilização de preços;price-stabilization policy
política de investimento;investment policy
política de preços;pricing policy
política de restrição de crédito;tight credit policy
política de seguros privados;private insurance policy
política de vendas;sales policy
política financeira;financial policy
política fiscal;fiscal policy
política monetária;monetary policy
ponte rolante;bridge crane
ponto básico;basis point
ponto de equilíbrio (entre receita e despesa);break-even point
ponto de nivelamento;equalization point
ponto de pedido;point of order
ponto de referência;yardstick
ponto de renovação de pedido;reorder point
ponto de retorno;turning point
ponto de venda;outlet, point of sale
ponto final;full stop
ponto percentual;percentage point
pontos de controle;checkpoints
pontos de destaque na auditoria;audit highlights
pool;pool or syndicate
população (estatística);population (statistics)
por cento;percent
por conta de;on behalf of
por conta própria;for own account
pôr em execução;enforce
por ferrovia;by rail
por meio deste;hereby
por rodovia;by truck
por via aérea;by plane, by air
por via férrea;by rail
por via marítima;by sea
por via rodoviária;by truck
porta a porta;door to door
portador;bearer
portador da apólice;"policybearer; policyowner"
porta-voz;spokesman
porteiro;janitor
posição;position, rank, status, standing
"posição ""casada""";square (flat) position
posição a descoberto;short position
posição comprada;long position
posição de liquidez do banco;bank liquidity position
posição descoberta;naked position
posição em aberto;open position
posição em moedas, não casada/não equilibrada;unmatched position in currencies
posição fechada (mercado financeiro);closed position (financial market)
posição financeira;financial position
posição-chave;key position
posições durante a noite;overnight positions
posse;ownership, possession
posses;holdings
possibilidades;ways and means
possíveis procedimentos de auditoria;possible audit procedures
posto na fábrica;ex-factory
posto nas docas;ex-dock
posto no armazém;ex-warehouse
potencial;potential
potencial de desenvolvimento;development potential
potencial de mercado;market potential
poupança;savings
prateleira;shelf
prática aceita;accepted practice
prática comercial;business practice
prática contábil;accounting practice
prática usual;common practice
praticar;exercise
práticas protecionistas;protective practices
práticas restritivas;restrictive practices
prazo de arrendamento;lease term
prazo de carência;qualifying period for benefits
prazo de duração;duration
prazo de graça;grace period
prazo de prescrição;statute of limitations
prazo de tolerância;tolerance period
prazo do seguro pago ou aumentado;paid-up or extended term
prazo fixo;fixed term
prazo médio;average term
pré-aquisição;preacquisition
preciso;definite
preço;price-stabilization policy
preço (taxa) padrão;standard price (rate)
preço à vista;cash price
